latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.247,140.874,327.7,1,1,2021-08-31,0350,A,81,6.1NRT,306.3,19.4,D
31.497,130.499,312,3.3,1.7,2021-08-31,0350,A,0,6.1NRT,297,33.5,D
33.72,135.983,315.3,1.3,1.1,2021-08-31,0350,A,0,6.1NRT,301.4,10.6,D
33.405,133.287,309.8,1.9,1.4,2021-08-31,0350,A,41,6.1NRT,292.8,12.7,D
34.664,138.095,319,1.1,1,2021-08-31,0350,A,66,6.1NRT,300.5,7.9,D
34.686,137.655,330.3,1.1,1,2021-08-31,0350,A,56,6.1NRT,304.8,15.6,D
34.684,137.643,329.1,1.1,1,2021-08-31,0350,A,0,6.1NRT,304.5,15.1,D
34.984,134.242,316.5,1.6,1.2,2021-08-31,0350,A,71,6.1NRT,298.1,16.2,D
40.53,111.84,321.6,1.5,1.2,2021-08-31,0350,T,77,6.1NRT,296.9,25.1,D
40.526,110.398,313,1.3,1.1,2021-08-31,0350,T,50,6.1NRT,295,10.6,D
40.524,110.413,311.9,1.3,1.1,2021-08-31,0350,T,28,6.1NRT,296.5,9.7,D
40.626,109.743,316.1,1.2,1.1,2021-08-31,0350,T,44,6.1NRT,295.4,8.4,D
38.214,109.434,318.8,1.3,1.1,2021-08-31,0350,T,57,6.1NRT,297.8,11.5,D
37.851,107.725,318.5,1.1,1,2021-08-31,0350,T,41,6.1NRT,300.4,10.6,D
37.626,106.313,321.2,1,1,2021-08-31,0350,T,48,6.1NRT,300.3,12.4,D
37.574,106.289,320,1,1,2021-08-31,0350,T,67,6.1NRT,297.2,12.4,D
29.599,106.76,313.9,1.3,1.1,2021-08-31,0350,T,34,6.1NRT,294.2,9.3,D
29.589,106.757,313.9,1.3,1.1,2021-08-31,0350,T,48,6.1NRT,294.5,9.6,D
29.53,106.676,316.4,1.3,1.1,2021-08-31,0350,T,40,6.1NRT,295.5,9.3,D
29.204,107.117,315.1,1.4,1.2,2021-08-31,0350,T,50,6.1NRT,296.5,10.8,D
27.122,104.73,313.6,1.1,1.1,2021-08-31,0350,T,18,6.1NRT,298,8.3,D
26.933,104.242,313,1.1,1,2021-08-31,0350,T,57,6.1NRT,295.4,8.2,D
26.566,101.674,324.3,1,1,2021-08-31,0350,T,39,6.1NRT,301.3,14,D
26.008,101.713,315.7,1,1,2021-08-31,0350,T,67,6.1NRT,298.2,6.9,D
25.416,103.604,316.2,1.1,1,2021-08-31,0350,T,72,6.1NRT,294.6,10.7,D
25.03,103.663,308.4,1.1,1,2021-08-31,0350,T,17,6.1NRT,289.9,4.1,D
24.811,104.033,314.3,1.1,1.1,2021-08-31,0350,T,53,6.1NRT,295.9,8,D
